time,cost
2023/1/2,0.991835484
2023/1/3,0.974689662
2023/1/4,0.971833627
2023/1/5,0.991982744
2023/1/6,0.995541416
2023/1/7,1.00420662
2023/1/8,1.110307036
2023/1/9,1.468266504
2023/1/10,1.790131709
2023/1/11,2.066630163
2023/1/12,1.944504658
2023/1/13,3.66268281
2023/1/14,2.106305775
2023/1/15,1.989080871
2023/1/16,6.879950905
2023/1/17,4.700584627
2023/1/18,1.943709407
2023/1/19,1.862358449
2023/1/20,3.459516737
2023/1/21,2.696413966
2023/1/22,2.749315752
2023/1/23,2.7500786
2023/1/24,2.717156151
2023/1/25,2.749765494
2023/1/26,2.74282661
2023/1/27,2.594617754
2023/1/28,2.568300365
2023/1/29,3.837993869
2023/1/30,2.407329848
2023/1/31,2.391885619
2023/2/1,11.6409726
2023/2/2,9.399765826
2023/2/3,8.665619892
2023/2/4,6.003902059
2023/2/5,6.236480618
2023/2/6,4.857057242
2023/2/7,2.002352055
2023/2/8,1.633904977
2023/2/9,1.604644601
2023/2/10,1.530248481
2023/2/11,1.651164275
2023/2/12,1.627743982
2023/2/13,1.501058984
2023/2/14,1.953430435
2023/2/15,2.190994818
2023/2/16,3.756853932
2023/2/17,6.101070905
2023/2/18,7.441448599
2023/2/19,7.750867064
2023/2/20,3.463704139
2023/2/21,3.77333799
2023/2/22,19.2432661
2023/2/23,2.854196285
2023/2/24,18.82843189
2023/2/25,2.948954518
2023/2/26,3.043424494
2023/2/27,9.407230909
2023/2/28,26.52975537
2023/3/1,15.51705038
2023/3/2,2.113885666
2023/3/3,2.071020331
2023/3/4,2.004945074
2023/3/5,1.42660282
2023/3/6,5.506157677
2023/3/7,3.83161243
2023/3/8,4.717484097
2023/3/9,17.63243225
2023/3/10,4.172837118
2023/3/11,3.388570137
2023/3/12,3.432624328
2023/3/13,3.312779164
2023/3/14,3.734136767
2023/3/15,5.24146197
2023/3/16,5.472441419
2023/3/17,2.684451975
2023/3/18,2.269083349
2023/3/19,2.193069329
2023/3/20,2.303164889
2023/3/21,2.943873606
2023/3/22,3.256854961
2023/3/23,3.645366062
2023/3/24,4.367298876
2023/3/25,3.961466732
2023/3/26,4.009474351
2023/3/27,3.822581557
2023/3/28,4.276649437
2023/3/29,3.885318304
2023/3/30,3.053194271
2023/3/31,3.618430627
2023/4/1,81.00507935
2023/4/2,3.523728409
2023/4/3,3.463451864
2023/4/4,3.472168893
2023/4/5,3.735481468
2023/4/6,3.782005052
2023/4/7,11.02744832
2023/4/8,4.720742145
2023/4/9,4.647346319
